IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%
400cc2,rbx,58682518,2276,masked,<bpnn_adjust_weights._omp_fn.1>,mov,"mov, %rsi,%rcx",1,0,28.642973,62.6865671641791,37.3134328358209
400ccc,rcx,58767748,1378,masked,<bpnn_adjust_weights._omp_fn.1>,add,"add, $0x1,%rax",1,0,28.684596,62.6865671641791,37.3134328358209
401205,rbp,58948055,1162,crash,<bpnn_free>,mov,"mov, 0x50(%rbx),%rax",0,1,28.772652,62.6865671641791,37.3134328358209
400ff1,rbp,59072076,1953,masked,<bpnn_randomize_weights>,cvtsi2ss,"cvtsi2ss, %eax,%xmm0",1,0,28.83322,63.18407960199005,36.81592039800995
400ccc,xmm0,59287914,2390,crash,<bpnn_adjust_weights._omp_fn.1>,add,"add, $0x1,%rax",0,1,28.938628,62.6865671641791,37.3134328358209
400ff8,rbx,59295711,149,masked,<bpnn_randomize_weights>,mulss,"mulss, 0x1090(%rip),%xmm0",1,0,28.942436,62.6865671641791,37.3134328358209
400fe8,rax,59533145,3152,masked,<bpnn_randomize_weights>,add,"add, $0x1,%rbx",1,0,29.058391,62.18905472636816,37.81094527363184
400fe4,xmm0,59571002,245,crash,<bpnn_randomize_weights>,lea,"lea, (%rax,%rbx,4),%rbp",0,1,29.076879,61.691542288557216,38.308457711442784
400d98,rflags,59934826,2552,masked,<bpnn_layerforward._omp_fn.0>,mov,"mov, (%r8,%rax,8),%rdx",1,0,29.254559,61.19402985074627,38.80597014925373
400f19,rflags,60050815,1024,crash,<alloc_1d_dbl>,test,"test, %rax,%rax",0,1,29.311204,61.19402985074627,38.80597014925373
400fe0,rflags,60051629,1381,masked,<bpnn_randomize_weights>,mov,"mov, (%r15,%r14,8),%rax",1,0,29.311601,60.69651741293532,39.30348258706468
400cc2,rbx,60052847,2040,crash,<bpnn_adjust_weights._omp_fn.1>,mov,"mov, %rsi,%rcx",0,1,29.312196,60.19900497512438,39.80099502487562
400fe4,rcx,60289415,1624,crash,<bpnn_randomize_weights>,lea,"lea, (%rax,%rbx,4),%rbp",0,1,29.427728,60.19900497512438,39.80099502487562
400fe8,rcx,60382125,859,crash,<bpnn_randomize_weights>,add,"add, $0x1,%rbx",0,1,29.473005,60.19900497512438,39.80099502487562
4012d4,xmm0,60499375,2952,crash,<bpnn_create>,mov,"mov, (%rax,%r8,8),%rdx",0,1,29.530266,60.69651741293532,39.30348258706468
400ff8,rflags,60571573,2443,masked,<bpnn_randomize_weights>,mulss,"mulss, 0x1090(%rip),%xmm0",1,0,29.565525,60.69651741293532,39.30348258706468
400d9c,rbp,60713205,297,masked,<bpnn_layerforward._omp_fn.0>,movss,"movss, (%rdx,%rbx,1),%xmm0",1,0,29.634693,61.19402985074627,38.80597014925373
4012e7,rflags,60866402,318,masked,<bpnn_create>,add,"add, $0x1,%rcx",1,0,29.709509,61.19402985074627,38.80597014925373
4012e7,rflags,60972340,709,crash,<bpnn_create>,add,"add, $0x1,%rcx",0,1,29.761246,61.691542288557216,38.308457711442784
4012e7,rcx,61085580,1080,crash,<bpnn_create>,add,"add, $0x1,%rcx",0,1,29.816549,62.18905472636816,37.81094527363184
40120d,rcx,61142623,352,masked,<bpnn_free>,add,"add, $0x1,%rbp",1,0,29.844406,61.691542288557216,38.308457711442784
400cd0,rbx,61261302,373,masked,<bpnn_adjust_weights._omp_fn.1>,cmp,"cmp, %eax,%ebx",1,0,29.902365,61.691542288557216,38.308457711442784
400cd2,rdx,61336534,213,masked,<bpnn_adjust_weights._omp_fn.1>,cvtps2pd,"cvtps2pd, %xmm1,%xmm1",1,0,29.939106,62.18905472636816,37.81094527363184
400cec,xmm1,61422265,3324,crash,<bpnn_adjust_weights._omp_fn.1>,movss,"movss, (%rcx),%xmm1",0,1,29.980974,62.6865671641791,37.3134328358209
400ff5,rdx,61528054,1853,masked,<bpnn_randomize_weights>,cmp,"cmp, %ebx,%r12d",1,0,30.032638,63.18407960199005,36.81592039800995
400cd0,xmm1,61701479,2408,masked,<bpnn_adjust_weights._omp_fn.1>,cmp,"cmp, %eax,%ebx",1,0,30.117333,63.18407960199005,36.81592039800995
400ff1,rflags,61725540,2231,crash,<bpnn_randomize_weights>,cvtsi2ss,"cvtsi2ss, %eax,%xmm0",0,1,30.129084,63.18407960199005,36.81592039800995
4012eb,rax,61866974,1246,masked,<bpnn_create>,cmp,"cmp, %ecx,%ebx",1,0,30.198155,63.18407960199005,36.81592039800995
400cbe,rdx,61909616,1061,masked,<bpnn_adjust_weights._omp_fn.1>,add,"add, (%r9,%rax,8),%rdx",1,0,30.21898,63.18407960199005,36.81592039800995
400fe8,xmm1,62511636,2650,crash,<bpnn_randomize_weights>,add,"add, $0x1,%rbx",0,1,30.512987,63.18407960199005,36.81592039800995
400ff5,xmm0,62543099,1951,crash,<bpnn_randomize_weights>,cmp,"cmp, %ebx,%r12d",0,1,30.528352,63.18407960199005,36.81592039800995
400ff1,rcx,62553585,2618,crash,<bpnn_randomize_weights>,cvtsi2ss,"cvtsi2ss, %eax,%xmm0",0,1,30.533473,63.681592039801,36.318407960199
400fe0,rcx,62554585,2894,crash,<bpnn_randomize_weights>,mov,"mov, (%r15,%r14,8),%rax",0,1,30.533962,63.681592039801,36.318407960199
400ccc,rax,62662299,232,masked,<bpnn_adjust_weights._omp_fn.1>,add,"add, $0x1,%rax",1,0,30.586566,64.17910447761194,35.82089552238806
