IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Sdc,Dynamic Execution,Masked%,Crash%,Sdc%,Masked%+Sdc%
42be27,rsp,355558244,295,sdc,<HPL_ladd>,mov,"mov, %r8d,%esi",0,0,1,73.18758,27.860696517412936,9.45273631840796,62.6865671641791,90.54726368159204
42be8a,xmm1,356419203,401,crash,<HPL_lmul>,xor,"xor, %ecx,%ecx",0,1,0,73.365475,27.860696517412936,9.45273631840796,62.6865671641791,90.54726368159204
42bed8,rbp,356641213,297,sdc,<HPL_lmul>,add,"add, %ebx,%esi",0,0,1,73.411348,27.860696517412936,9.45273631840796,62.6865671641791,90.54726368159204
42bf00,rcx,357647091,5,sdc,<HPL_lmul>,cmp,"cmp, $0x4,%rcx",0,0,1,73.619187,27.860696517412936,9.950248756218905,62.18905472636816,90.04975124378109
420aa5,rbx,358225026,232,sdc,<HPL_rand>,shr,"shr, $0x10,%eax",0,0,1,73.738603,27.860696517412936,9.950248756218905,62.18905472636816,90.04975124378109
42be16,rbx,359284530,370,sdc,<HPL_ladd>,movzwl,"movzwl, %si,%r8d",0,0,1,73.957522,27.860696517412936,9.950248756218905,62.18905472636816,90.04975124378109
42bead,rsi,359676041,63,sdc,<HPL_lmul>,test,"test, %ecx,%ecx",0,0,1,74.038418,27.860696517412936,9.950248756218905,62.18905472636816,90.04975124378109
42bf06,rflags,360388868,90,masked,<HPL_lmul>,movzwl,"movzwl, -0x20(%rsp),%r11d",1,0,0,74.185705,27.860696517412936,9.950248756218905,62.18905472636816,90.04975124378109
420a84,r9,362020427,147,masked,<HPL_rand>,movsd,"movsd, 0x7d1a4c(%rip),%xmm4",1,0,0,74.522825,27.860696517412936,10.447761194029852,61.691542288557216,89.55223880597015
42bea3,rbx,363607409,380,masked,<HPL_lmul>,mov,"mov, %esi,%edi",1,0,0,74.850735,27.860696517412936,10.447761194029852,61.691542288557216,89.55223880597015
42be2e,rcx,363830370,215,sdc,<HPL_ladd>,shr,"shr, $0x10,%esi",0,0,1,74.896804,27.36318407960199,10.447761194029852,62.18905472636816,89.55223880597015
42be02,rcx,364094609,454,sdc,<HPL_ladd>,shl,"shl, $0x10,%r9d",0,0,1,74.951402,27.36318407960199,10.447761194029852,62.18905472636816,89.55223880597015
42beb8,rsi,364293962,167,masked,<HPL_lmul>,imul,"imul, %r11d,%ebx",1,0,0,74.992593,27.36318407960199,10.447761194029852,62.18905472636816,89.55223880597015
420a70,rbx,364413265,359,crash,<HPL_rand>,sub,"sub, $0x18,%rsp",0,1,0,75.017244,26.865671641791046,10.945273631840797,62.18905472636816,89.05472636815921
420ac0,rbx,366408820,117,masked,<HPL_rand>,movsd,"movsd, 0x7d1a20(%rip),%xmm0",1,0,0,75.429575,27.36318407960199,10.945273631840797,61.691542288557216,89.05472636815921
